"","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"1","2022-12-01",1908,"FIFA World Cup","Croatia","Belgium",80.87,79.44,0.3881,0.3253,0.2866,1.38,1.24,0,0,0.63,2.62,1.44,1.92,0,0
"2","2022-12-05",1908,"FIFA World Cup","Brazil","South Korea",92.9,69.4,0.8261,0.1739,0,1.89,0.58,4,1,2.96,0.67,1.56,0.69,4.2,1.05
"3","2022-11-30",1908,"FIFA World Cup","Tunisia","France",65.92,90.15,0.1116,0.651,0.2374,0.6,1.82,1,0,0.29,0.43,0.61,1.21,1.05,0
"4","2022-11-27",1908,"FIFA World Cup","Japan","Costa Rica",71.98,51.99,0.5955,0.1498,0.2547,1.74,0.74,0,1,0.7,0.14,1.15,0.09,0,1.05
"5","2022-12-02",1908,"FIFA World Cup","Cameroon","Brazil",64.48,93.48,0.0363,0.8112,0.1524,0.31,2.29,1,0,0.38,2.75,0.81,2.99,1.05,0
"6","2022-12-05",1908,"FIFA World Cup","Japan","Croatia",73.02,79.14,0.454,0.546,0,1.1,1.27,1,1,1.55,1.43,0.94,1.61,1.05,1.05
"7","2022-11-27",1908,"FIFA World Cup","Spain","Germany",91.22,88.73,0.4619,0.2781,0.26,1.72,1.28,1,1,0.57,0.91,1.32,1.06,1.05,1.05
"8","2022-11-24",1908,"FIFA World Cup","Brazil","Serbia",93.55,75.84,0.6787,0.1124,0.2089,2.11,0.72,2,0,1.48,0.18,1.4,0.36,2.02,0
"9","2022-12-13",1908,"FIFA World Cup","Argentina","Croatia",87.46,79.37,0.6426,0.3574,0,1.33,0.84,3,0,1.69,0.53,1.3,1.16,3.15,0
"10","2022-11-22",1908,"FIFA World Cup","Argentina","Saudi Arabia",87.21,56.87,0.7228,0.0807,0.1966,2.11,0.54,1,2,1.63,0.15,2.4,0.53,1.05,2.1
"11","2022-12-01",1908,"FIFA World Cup","Japan","Spain",70.43,90.62,0.1391,0.6135,0.2474,0.71,1.79,2,1,0.53,0.79,0.81,1.1,2.1,1.05
"12","2022-11-28",1908,"FIFA World Cup","Brazil","Switzerland",93.66,77.52,0.6427,0.1202,0.2372,1.84,0.65,1,0,1.46,0.27,1.23,0.61,1.05,0
"13","2022-11-20",1908,"FIFA World Cup","Qatar","Ecuador",51,72.74,0.2369,0.5045,0.2586,1.13,1.75,0,2,0.23,1.14,0.24,1.35,0,2.1
"14","2022-11-25",1908,"FIFA World Cup","England","USA",86.26,72.63,0.5436,0.1965,0.2598,1.73,0.94,0,0,0.62,0.52,1.34,0.74,0,0
"15","2022-11-28",1908,"FIFA World Cup","Portugal","Uruguay",87.3,79.7,0.4392,0.2628,0.298,1.37,1,2,0,1.42,1.18,1.28,1.36,1.58,0
